BounceRates,ExitRates,Region,Weekend,Month_Dec,Month_Mar,Month_May,Month_Nov,VisitorType_New_Visitor,VisitorType_Returning_Visitor
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.7000000000000001,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.07894737,0.1228070199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.333333335,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.09375,0.129166665,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.041666665,0.0815631799999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.03846154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.05,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.041666665,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.166666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.014285715,0.04761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2173913049999999,0.25410628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.333333335,0.625,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.07142857,0.142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.076923075,0.10176282,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.125,0.28125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.142857145,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.142857145,0.357142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.00897436,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.333333335,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.033333335,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0151515149999999,0.0303030299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.085714285,0.285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.333333335,0.6666666649999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.01818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.055555555,0.130555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.375,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.073682335,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.25,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05882353,0.232843135,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.083333335,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.604166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
