duration,age,balance,day,poutcome_success,campaign,pdays,previous,target
0.0248262164846077,0.161764705882353,0.0684554569737319,0.6,0,0,0,0,0
0.0714995034756703,0.205882352941176,0.108750218117878,0.333333333333333,0,0,0.389908256880734,0.16,0
0.0599139357828533,0.235294117647059,0.0625897638957866,0.5,0,0,0.379587155963303,0.04,0
0.0645481628599801,0.161764705882353,0.0642810163621964,0.0666666666666666,0,0.0612244897959183,0,0,0
0.0734856007944389,0.588235294117647,0.0444692017556811,0.133333333333333,0,0,0,0,0
0.0453492221118834,0.235294117647059,0.0544959128065395,0.733333333333333,0,0.0204081632653061,0.202981651376147,0.12,0
0.111552466070837,0.25,0.0485899518127273,0.433333333333333,0,0,0.379587155963303,0.08,0
0.0486593843098311,0.294117647058823,0.0464423296331592,0.166666666666667,0,0.0204081632653061,0,0,0
0.0175438596491228,0.323529411764706,0.0474356048912095,0.433333333333333,0,0.0204081632653061,0,0,0
0.102284011916584,0.352941176470588,0.0432880095569186,0.533333333333333,0,0,0.169724770642202,0.08,0
0.0890433631247931,0.294117647058823,0.170293016201125,0.633333333333333,0,0,0,0,0
0.0360807679576299,0.352941176470588,0.0480127783519684,0.533333333333333,0,0.0204081632653061,0,0,0
0.107249255213505,0.25,0.0593549079878122,0.4,0,0.0204081632653061,0,0,0
0.0850711684872558,0.0147058823529411,0.0512073663440759,0.966666666666667,0,0,0,0,1
0.0281363786825554,0.176470588235294,0.0493013516597092,0.933333333333333,0,0,0.277522935779817,0.04,0
0.0612380006620324,0.308823529411765,0.0470731936484074,0.933333333333333,0,0.0204081632653061,0,0,0
0.0777888116517709,0.544117647058823,0.0991396088643105,0.866666666666667,0,0.0816326530612244,0,0,0
0.0364117841774246,0.264705882352941,0.075569455443551,0.633333333333333,0,0,0.17545871559633,0.08,0
0.0814299900695134,0.088235294117647,0.0415027986201527,0.733333333333333,0,0,0,0,0
0.0476663356504468,0.176470588235294,0.0462409900538247,0.2,0,0,0.17545871559633,0.04,0
0.0304534922211188,0.279411764705882,0.0444692017556811,0.566666666666667,0,0.0204081632653061,0,0,0
0.0450182058920887,0.338235294117647,0.0446839639736379,0.6,0,0.0408163265306122,0,0,0
0.0347567030784508,0.367647058823529,0.0458920014496449,0.366666666666667,0,0.0204081632653061,0,0,0
0.0400529625951671,0.367647058823529,0.045717507147555,0.2,0,0.0204081632653061,0,0,0
0.054617676266137,0.102941176470588,0.0517576945275902,0.966666666666667,0,0.0408163265306122,0,0,0
0.058920887123469,0.323529411764706,0.123434584770674,0.633333333333333,0,0.0204081632653061,0,0,0
0.0804369414101291,0.529411764705882,0.0528851961718634,0.133333333333333,0,0,0,0,0
0.0380668652763985,0.705882352941176,0.0538113582368021,0.533333333333333,0,0,0.121559633027523,0.08,0
0.0479973518702416,0.544117647058823,0.0549925504355646,0.966666666666667,0,0.0204081632653061,0,0,0
0.0231711353856338,0.5,0.0458785788110226,0.666666666666667,0,0.0204081632653061,0,0,0
0.295597484276729,0.720588235294118,0.100696634944497,0.433333333333333,0,0.0204081632653061,0,0,1
0.0254882489241972,0.176470588235294,0.0467644729600944,0.866666666666667,0,0.0408163265306122,0,0,0
0.0119165839126117,0.588235294117647,0.0450329525778177,0.666666666666667,0,0,0,0,0
0.315789473684211,0.191176470588235,0.0785090133018348,0.833333333333333,0,0.102040816326531,0,0,1
0.115855676928169,0.441176470588235,0.061046160454222,0.4,0,0.0408163265306122,0,0,1
0.0483283680900364,0.338235294117647,0.0687776003006671,0.433333333333333,0,0,0,0,0
0.0307845084409136,0.867647058823529,0.0475429860001879,0.7,0,0,0,0,1
0.0423700761337305,0.191176470588235,0.0725090938376666,0.433333333333333,0,0,0,0,1
0.25190334326382,0.205882352941176,0.0972872847344331,0.166666666666667,0,0,0.393348623853211,0.08,1
0.0039721946375372,0.0588235294117647,0.0493416195755761,0.966666666666667,0,0.346938775510204,0,0,0
